Shelf,  Tag,    RFID
0,      1,      E2801170000002076A50957C
0,      3,      E2801170000002076A508C7E
0,      5,      E2801170000002076A509570
0,      7,      E2801170000002076A50957A
0,      9,      E2801170000002076A508C7D
0,      11,     E2801170000002076A50957B
0,      13,     E2801170000002076A50957D
0,      15,     E2801170000002076A508D78
0,      17,     E2801170000002076A508C74
0,      19,     E2801170000002076A508D76
1,      0,      E2801170000002076A508C7F
1,      8,      E2801170000002076A508C72
1,      10,     E2801170000002076A509D72
1,      12,     E2801170000002076A509D75
1,      14,     E2801170000002076A509D73
1,      16,     E2801170000002076A509476
1,      18,     E2801170000002076A509478
1,      1,      E2801170000002076A509D74
1,      3,      E2801170000002076A509C7C
1,      5,      E2801170000002076A509479
1,      7,      E2801170000002076A509477